Interface              IP-Address      OK? Method Status                Protocol
FastEthernet0/0        unassigned      YES unset  administratively down down    
FastEthernet0/1        unassigned      YES unset  administratively down down    
FastEthernet1/0        unassigned      YES unset  administratively down down    
FastEthernet1/1        unassigned      YES unset  administratively down down    
GigabitEthernet2/0     192.168.200.2   YES manual up                    up      
GigabitEthernet3/0     192.168.150.1   YES manual up                    up      
Serial4/0              unassigned      YES unset  administratively down down    
Serial4/1              unassigned      YES unset  administratively down down    
Serial4/2              unassigned      YES unset  administratively down down    
Serial4/3              unassigned      YES unset  administratively down down    
